,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
16087,0.16,2002,0.0103,0.5579999999999999,324547,0.615,1,15qrWkkYCfmtu1uRpGf48L,0.0,1,0.105,-5.641,1,White America,67,2002-05-26,0.22899999999999998,76.673,['Eminem'],1
16104,0.0547,2002,0.927,0.204,207267,0.0331,0,1upQiytDIEZfl9ItruoXuC,0.825,2,0.0954,-24.044,0,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",67,2002,0.0487,116.2,"['George Frideric Handel', 'Alexander Briger', 'Academy of St. Martin in the Fields']",3
16199,0.637,2002,0.292,0.486,238133,0.715,0,0dEPlb8waIqRtKpLb3l6So,0.0,7,0.195,-4.417,1,Fotografía,67,2002-01-01,0.0519,84.09200000000001,"['Juanes', 'Nelly Furtado']",2
140654,0.28600000000000003,2019,0.159,0.7120000000000001,132816,0.616,1,7AWmIJP1B7Y9rDYcIUeXeP,0.0,4,0.105,-10.062000000000001,1,Maradona,67,2019-01-07,0.26899999999999996,145.002,['Pink Chanel Dior'],1
140657,0.963,2019,0.179,0.648,224105,0.5760000000000001,0,10UiP7h6szsk0CitFO8NM2,1.6800000000000002e-05,3,0.105,-8.081,0,Tus Jefes No Me Quieren,67,2019-04-12,0.078,179.99599999999995,['Sonideros de MEX USA'],1
140462,0.0,2019,0.914,0.0,149538,9.9e-05,0,595CZH0N7pnCKjF4lmcilR,0.9520000000000001,5,0.10800000000000001,-19.059,0,Heedful Pink Noise,67,2019-11-29,0.0,0.0,['Fizzonaut'],1
18522,0.47100000000000003,2014,0.0152,0.546,269693,0.667,1,7DTlsMOQjGysXHpwwpHuPl,0.0,1,0.0895,-5.2360000000000015,1,Lifestyle,67,2014-06-05,0.27399999999999997,87.666,"['Rich Gang', 'Young Thug', 'Rich Homie Quan']",3
16636,0.706,2005,0.11699999999999999,0.667,229040,0.6729999999999999,1,1gewemPOUilb21s7CfMS55,0.0,4,0.34299999999999997,-6.006,1,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,67,2005,0.0536,151.834,['Rehab'],1
16638,0.6459999999999999,2005,0.000148,0.518,238880,0.9159999999999999,0,2l57cfmCnOkwNX1tky02n1,0.0,3,0.29100000000000004,-3.858,1,Move Along,67,2005-01-01,0.0454,109.86399999999999,['The All-American Rejects'],1
16639,0.695,2005,0.21100000000000002,0.41,272347,0.78,0,3duP6mBVDsHM8ioN7o7dAK,0.0,9,0.48,-5.391,1,Boondocks,67,2005-01-01,0.0332,88.016,['Little Big Town'],1
